date,Milk(pounds)
1962-01-01,589.0
1962-02-01,561.0
1962-03-01,640.0
1962-04-01,656.0
1962-05-01,727.0
1962-06-01,697.0
1962-07-01,640.0
1962-08-01,599.0
1962-09-01,568.0
1962-10-01,577.0
1962-11-01,553.0
1962-12-01,582.0
1963-01-01,600.0
1963-02-01,566.0
1963-03-01,653.0
1963-04-01,673.0
1963-05-01,742.0
1963-06-01,716.0
1963-07-01,660.0
1963-08-01,617.0
1963-09-01,583.0
1963-10-01,587.0
1963-11-01,565.0
1963-12-01,598.0
1964-01-01,628.0
1964-02-01,618.0
1964-03-01,688.0
1964-04-01,705.0
1964-05-01,770.0
1964-06-01,736.0
1964-07-01,678.0
1964-08-01,639.0
1964-09-01,604.0
1964-10-01,611.0
1964-11-01,594.0
1964-12-01,634.0
1965-01-01,658.0
1965-02-01,622.0
1965-03-01,709.0
1965-04-01,722.0
1965-05-01,782.0
1965-06-01,756.0
1965-07-01,702.0
1965-08-01,653.0
1965-09-01,615.0
1965-10-01,621.0
1965-11-01,602.0
1965-12-01,635.0
1966-01-01,677.0
1966-02-01,635.0
1966-03-01,736.0
1966-04-01,755.0
1966-05-01,811.0
1966-06-01,798.0
1966-07-01,735.0
1966-08-01,697.0
1966-09-01,661.0
1966-10-01,667.0
1966-11-01,645.0
1966-12-01,688.0
1967-01-01,713.0
1967-02-01,667.0
1967-03-01,762.0
1967-04-01,784.0
1967-05-01,837.0
1967-06-01,817.0
1967-07-01,767.0
1967-08-01,722.0
1967-09-01,681.0
1967-10-01,687.0
1967-11-01,660.0
1967-12-01,698.0
1968-01-01,717.0
1968-02-01,696.0
1968-03-01,775.0
1968-04-01,796.0
1968-05-01,858.0
1968-06-01,826.0
1968-07-01,783.0
1968-08-01,740.0
1968-09-01,701.0
1968-10-01,706.0
1968-11-01,677.0
1968-12-01,711.0
1969-01-01,734.0
1969-02-01,690.0
1969-03-01,785.0
1969-04-01,805.0
1969-05-01,871.0
1969-06-01,845.0
1969-07-01,801.0
1969-08-01,764.0
1969-09-01,725.0
1969-10-01,723.0
1969-11-01,690.0
1969-12-01,734.0
